Screen_Name,Tweet_Text,Follower_Count
b'homegypsy',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",2700
b'NevenaTrajkov',b'The result of competent leadership that took strict measures to mitigate the continuing spread of #COVID. Because o\xe2\x80\xa6 https://t.co/i4B2JOFPn0',642
b'guddukvm',"b'RT @iabhishekpawan: #COVID  1/2\nThere are some #covid patient near my area. One person even died almost a week ago, and no one knows what w\xe2\x80\xa6'",15
b'glasgavlen',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",2328
b'Nosmokingboy786',"b""RT @ashoswai: This Modi's chamcha gets admitted to the best hospital in the country after getting a mild #COVID symptom - Why didn't he try\xe2\x80\xa6""",454
b'llchase',b'RT @Light_Luv_Peace: @388shark @SenKamalaHarris @RepPressley It\xe2\x80\x99s been months since I lost my job to #covid and I have not seen anything fr\xe2\x80\xa6',812
b'homegypsy',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",2700
b'AncientBat',"b'RT @StefSimanowitz: A company owned &amp; controlled by Dominic Cummings paid \xc2\xa3250,000 to Faculty, the AI firm that worked on Vote Leave, in 20\xe2\x80\xa6'",58
b'shadeofcardinal',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",115
b'KellyJoPhxAZ',b'RT @Cleavon_MD: We are 6 months into the #COVID pandemic and Essential Workers are still DYING because of lack of #PPE. @realDonaldTrump sh\xe2\x80\xa6',8
b'Patriotgirl18',b'@TODAYshow @tomhanks Pedo @tomhanks is telling the rest of us to belive about a #Communist agenda! #Covid agenda is\xe2\x80\xa6 https://t.co/iUJKwIMOEb',209
b'kingduke622',b'RT @nagma_morarji: In view of #Covid UGC shud cancel students Exams nt risk lives of students by saying merit is imp in a #Pandemic student\xe2\x80\xa6',93
b'sirohiyaraj25',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',409
b'jenkers_en',b'#MRT-3 bans talking inside trains to prevent #COVID-19 spread https://t.co/In6Z2aF4LP',1220
b'Rajnish59090216',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',52
b'Bipolitibear',b'@CDCgov @realDonaldTrump #woeisme\nPer NYTimes\n7/1 128097\n7/2 128655\n7/3 128825\n7/4 129408\n7/5 129908\n7/6 130332\n7/7\xe2\x80\xa6 https://t.co/152CunwiXY',11
b'stockguy61',b'RT @Hotpage_News: Wait Times For Coronavirus Test Results Jump To A Week \xe2\x80\x94 Or More - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic\xe2\x80\xa6',20040
b'Orionis57',b'RT @not_ghalib: As a recovered #COVID patient - I can confirm uselessness of Aarogya Setu - .01 cms from my wife\xe2\x80\x99s phone (her status-\xe2\x80\x9cinfec\xe2\x80\xa6',433
b'BalochRemat',"b""RT @ashoswai: This Modi's chamcha gets admitted to the best hospital in the country after getting a mild #COVID symptom - Why didn't he try\xe2\x80\xa6""",123
b'beenthiswayb4',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",17727
